time,latitude,longitude,sst
UTC,degrees_north,degrees_east,degree_C
2021-03-18T12:00:00Z,42.9955492889468,-87.7107369122681,2.66
2021-03-19T12:00:00Z,42.9955492889468,-87.7107369122681,2.71
2021-03-20T12:00:00Z,42.9955492889468,-87.7107369122681,2.77
2021-03-21T12:00:00Z,42.9955492889468,-87.7107369122681,2.79
2021-03-22T12:00:00Z,42.9955492889468,-87.7107369122681,2.79
2021-03-23T12:00:00Z,42.9955492889468,-87.7107369122681,2.82
2021-03-24T12:00:00Z,42.9955492889468,-87.7107369122681,2.86
2021-03-25T12:00:00Z,42.9955492889468,-87.7107369122681,2.9
2021-03-26T12:00:00Z,42.9955492889468,-87.7107369122681,2.91
2021-03-27T12:00:00Z,42.9955492889468,-87.7107369122681,2.62
2021-03-28T12:00:00Z,42.9955492889468,-87.7107369122681,2.54
