#YYYY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2000,1,4,2,42,1.5,1.6,99.0,99.0,99.0,999,1007.1,0.0,0.6,0.0,99.0,
2000,1,4,3,17,1.9,2.1,99.0,99.0,99.0,999,1005.4,-0.2,0.6,-0.3,99.0,
2000,1,4,4,13,2.2,2.5,99.0,99.0,99.0,999,1003.6,-0.5,0.6,-0.5,99.0,
2000,1,4,5,3,1.8,2.4,99.0,99.0,99.0,999,1003.5,-0.4,0.5,-0.5,99.0,
2000,1,4,6,325,1.4,1.6,99.0,99.0,99.0,999,1002.3,-1.5,0.5,-1.5,99.0,
2000,1,4,7,309,1.9,2.5,99.0,99.0,99.0,999,1002.4,-4.1,0.5,-4.2,99.0,
2000,1,4,8,315,1.9,2.6,99.0,99.0,99.0,999,1002.8,-4.3,0.3,-4.4,99.0,
2000,1,4,9,318,1.9,2.3,99.0,99.0,99.0,999,1003.5,-4.1,0.3,-4.3,99.0,
2000,1,4,10,311,1.6,2.0,99.0,99.0,99.0,999,1003.5,-3.9,0.2,-3.9,99.0,
2000,1,4,11,297,1.5,2.0,99.0,99.0,99.0,999,1003.9,-3.3,0.1,-3.3,99.0,
2000,1,4,12,304,1.9,2.4,99.0,99.0,99.0,999,1005.5,-2.4,0.1,-2.5,99.0,
2000,1,4,13,307,1.9,2.4,99.0,99.0,99.0,999,1007.0,-2.4,0.1,-2.6,99.0,
2000,1,4,14,299,1.7,2.2,99.0,99.0,99.0,999,1008.4,-2.5,0.1,-2.9,99.0,
2000,1,4,15,307,2.0,2.5,99.0,99.0,99.0,999,1009.2,-2.4,0.1,-3.4,99.0,
2000,1,4,16,303,11.0,13.8,99.0,99.0,99.0,999,1010.7,-2.3,0.2,-4.5,99.0,
2000,1,4,17,312,8.6,11.1,99.0,99.0,99.0,999,1011.8,-2.3,0.3,-5.3,99.0,
2000,1,4,18,305,6.6,9.0,99.0,99.0,99.0,999,1012.2,-2.1,0.3,-5.6,99.0,
2000,1,4,19,314,8.6,9.8,99.0,99.0,99.0,999,1013.4,-3.1,0.4,-7.1,99.0,
2000,1,4,20,322,6.7,8.3,99.0,99.0,99.0,999,1014.2,-3.2,0.4,-7.6,99.0,
2000,1,4,21,326,6.6,7.5,99.0,99.0,99.0,999,1015.5,-3.4,0.4,-8.3,99.0,
2000,1,4,22,324,6.0,7.0,99.0,99.0,99.0,999,1016.9,-3.8,0.4,-7.5,99.0,
2000,1,4,23,322,5.7,7.3,99.0,99.0,99.0,999,1018.1,-4.1,0.4,-7.7,99.0,
2000,1,5,0,314,4.2,4.9,99.0,99.0,99.0,999,1019.0,-4.2,0.3,-7.8,99.0,
2000,1,5,1,308,4.6,6.1,99.0,99.0,99.0,999,1020.0,-4.3,0.3,-8.0,99.0,
2000,1,5,2,320,4.7,5.8,99.0,99.0,99.0,999,1020.7,-4.8,0.3,-9.2,99.0,
2000,1,5,3,296,3.9,4.9,99.0,99.0,99.0,999,1021.5,-5.3,0.2,-9.5,99.0,
2000,1,5,4,305,4.3,5.2,99.0,99.0,99.0,999,1022.0,-6.1,0.2,-11.0,99.0,
2000,1,5,5,294,4.0,4.9,99.0,99.0,99.0,999,1022.9,-6.9,0.2,-11.1,99.0,
2000,1,5,6,304,4.4,5.7,99.0,99.0,99.0,999,1023.5,-7.4,0.1,-11.5,99.0,
2000,1,5,7,324,4.6,5.6,99.0,99.0,99.0,999,1023.7,-7.9,0.0,-11.7,99.0,
2000,1,5,8,341,2.7,3.8,99.0,99.0,99.0,999,1024.6,-7.8,0.0,-11.1,99.0,
2000,1,5,9,277,3.0,3.9,99.0,99.0,99.0,999,1025.4,-8.3,0.0,-11.5,99.0,
2000,1,5,10,282,2.3,2.9,99.0,99.0,99.0,999,1025.5,-8.2,0.0,-11.7,99.0,
2000,1,5,11,274,2.1,2.6,99.0,99.0,99.0,999,1025.5,-8.5,0.0,-12.0,99.0,
2000,1,5,12,288,0.3,0.7,99.0,99.0,99.0,999,1026.3,-8.7,0.0,-11.3,99.0,
2000,1,5,13,256,0.4,0.9,99.0,99.0,99.0,999,1026.3,-8.4,0.0,-11.3,99.0,
2000,1,5,14,224,1.5,1.9,99.0,99.0,99.0,999,1026.4,-9.0,0.0,-10.8,99.0,
2000,1,5,15,212,2.1,2.8,99.0,99.0,99.0,999,1026.7,-8.1,0.0,-10.8,99.0,
2000,1,5,16,203,4.6,5.0,99.0,99.0,99.0,999,1026.3,-5.8,0.0,-9.8,99.0,
2000,1,5,17,207,5.2,5.9,99.0,99.0,99.0,999,1025.7,-5.7,0.1,-9.5,99.0,
