#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2010,01,04,17,00,322,9.4,11.3,99.00,99.00,99.00,999,1023.9,-8.3,999.0,-12.3,99.0,99.00
2010,01,04,18,00,323,8.5,11.0,99.00,99.00,99.00,999,1023.1,-7.6,999.0,-11.5,99.0,99.00
2010,01,04,19,00,317,8.5,10.5,99.00,99.00,99.00,999,1022.5,-7.0,999.0,-11.5,99.0,99.00
2010,01,04,20,00,322,9.2,10.8,99.00,99.00,99.00,999,1022.3,-6.7,999.0,-11.7,99.0,99.00
2010,01,05,00,00,307,6.6,7.6,99.00,99.00,99.00,999,1022.9,-6.3,999.0,-11.2,99.0,99.00
2010,01,05,01,00,315,6.3,7.6,99.00,99.00,99.00,999,1022.9,-6.1,999.0,-10.7,99.0,99.00
2010,01,05,02,00,320,8.2,9.6,99.00,99.00,99.00,999,1022.6,-6.0,999.0,-10.7,99.0,99.00
2010,01,05,03,00,320,8.2,9.8,99.00,99.00,99.00,999,1022.4,-6.4,999.0,-10.6,99.0,99.00
2010,01,05,04,00,328,8.0,9.9,99.00,99.00,99.00,999,1022.2,-7.0,999.0,-11.1,99.0,99.00
2010,01,05,05,00,327,7.2,8.3,99.00,99.00,99.00,999,1022.0,-7.4,999.0,-11.2,99.0,99.00
2010,01,05,06,00,316,9.7,12.0,99.00,99.00,99.00,999,1021.4,-7.4,999.0,-11.2,99.0,99.00
2010,01,05,07,00,314,8.2,9.7,99.00,99.00,99.00,999,1021.2,-7.6,999.0,-11.1,99.0,99.00
2010,01,05,08,00,319,8.6,10.6,99.00,99.00,99.00,999,1021.3,-7.1,999.0,-10.2,99.0,99.00
2010,01,05,09,00,322,8.3,10.9,99.00,99.00,99.00,999,1021.3,-7.3,999.0,-9.9,99.0,99.00
2010,01,05,10,00,322,8.7,10.5,99.00,99.00,99.00,999,1021.2,-7.3,999.0,-10.0,99.0,99.00
2010,01,05,11,00,312,9.3,11.5,99.00,99.00,99.00,999,1021.5,-7.4,999.0,-10.1,99.0,99.00
2010,01,05,12,00,315,8.9,11.1,99.00,99.00,99.00,999,1021.7,-7.4,999.0,-10.1,99.0,99.00
2010,01,05,13,00,317,9.4,12.4,99.00,99.00,99.00,999,1021.8,-7.2,999.0,-10.3,99.0,99.00
2010,01,05,14,00,307,9.3,10.5,99.00,99.00,99.00,999,1022.2,-7.2,999.0,-10.2,99.0,99.00
2010,01,05,15,00,314,8.4,9.7,99.00,99.00,99.00,999,1022.3,-7.0,999.0,-9.8,99.0,99.00
2010,01,05,16,00,312,7.3,8.3,99.00,99.00,99.00,999,1022.6,-6.8,999.0,-9.5,99.0,99.00
2010,01,05,17,00,312,8.8,10.3,99.00,99.00,99.00,999,1021.8,-6.1,999.0,-9.1,99.0,99.00
2010,01,05,18,00,318,7.7,9.5,99.00,99.00,99.00,999,1021.1,-5.8,999.0,-8.8,99.0,99.00
2010,01,05,19,00,304,6.5,7.4,99.00,99.00,99.00,999,1020.7,-5.4,999.0,-8.6,99.0,99.00
2010,01,05,20,00,308,6.3,7.9,99.00,99.00,99.00,999,1020.9,-5.1,999.0,-8.9,99.0,99.00
2010,01,05,21,00,313,6.5,8.2,99.00,99.00,99.00,999,1021.4,-5.1,999.0,-9.2,99.0,99.00
2010,01,05,22,00,306,5.8,7.6,99.00,99.00,99.00,999,1021.6,-5.0,999.0,-8.9,99.0,99.00
2010,01,05,23,00,292,5.4,6.4,99.00,99.00,99.00,999,1021.8,-5.6,999.0,-9.6,99.0,99.00
2010,01,06,00,00,288,5.0,6.4,99.00,99.00,99.00,999,1021.8,-6.2,999.0,-10.1,99.0,99.00
2010,01,06,01,00,286,5.4,6.7,99.00,99.00,99.00,999,1021.8,-6.6,999.0,-10.3,99.0,99.00
2010,01,06,02,00,289,5.0,6.1,99.00,99.00,99.00,999,1021.5,-7.2,999.0,-10.8,99.0,99.00
2010,01,06,03,00,309,4.7,5.7,99.00,99.00,99.00,999,1021.4,-7.5,999.0,-11.0,99.0,99.00
2010,01,06,04,00,307,4.9,6.0,99.00,99.00,99.00,999,1021.3,-7.5,999.0,-10.8,99.0,99.00
2010,01,06,05,00,324,6.0,7.4,99.00,99.00,99.00,999,1021.0,-6.5,999.0,-10.2,99.0,99.00
2010,01,06,06,00,308,6.6,7.9,99.00,99.00,99.00,999,1020.7,-6.5,999.0,-9.9,99.0,99.00
2010,01,06,07,00,316,7.9,9.0,99.00,99.00,99.00,999,1020.5,-6.7,999.0,-10.1,99.0,99.00
2010,01,06,08,00,313,7.2,9.0,99.00,99.00,99.00,999,1020.9,-6.4,999.0,-9.4,99.0,99.00
2010,01,06,09,00,311,6.3,7.4,99.00,99.00,99.00,999,1021.0,-6.1,999.0,-8.9,99.0,99.00
2010,01,06,10,00,310,5.9,7.3,99.00,99.00,99.00,999,1021.1,-6.0,999.0,-8.8,99.0,99.00
2010,01,06,11,00,310,6.2,7.6,99.00,99.00,99.00,999,1021.1,-5.8,999.0,-8.5,99.0,99.00
2010,01,06,12,00,314,6.0,7.6,99.00,99.00,99.00,999,1021.1,-5.6,999.0,-8.2,99.0,99.00
2010,01,06,13,00,314,7.1,7.9,99.00,99.00,99.00,999,1021.5,-5.6,999.0,-8.3,99.0,99.00
2010,01,06,14,00,300,5.6,6.7,99.00,99.00,99.00,999,1021.8,-5.8,999.0,-8.5,99.0,99.00
2010,01,06,15,00,308,6.1,7.4,99.00,99.00,99.00,999,1022.2,-6.3,999.0,-8.9,99.0,99.00
2010,01,06,16,00,302,5.1,6.1,99.00,99.00,99.00,999,1022.4,-6.0,999.0,-8.8,99.0,99.00
2010,01,06,17,00,304,5.8,7.0,99.00,99.00,99.00,999,1021.7,-5.7,999.0,-8.5,99.0,99.00
2010,01,06,18,00,300,6.1,7.0,99.00,99.00,99.00,999,1021.1,-5.5,999.0,-8.5,99.0,99.00
2010,01,06,19,00,319,4.5,5.3,99.00,99.00,99.00,999,1020.5,-5.1,999.0,-8.1,99.0,99.00
2010,01,06,20,00,319,5.5,6.7,99.00,99.00,99.00,999,1020.4,-5.0,999.0,-8.4,99.0,99.00
