day,WDIR,WSPD,ATMP,WTMP,DEWP,I_onshore
2019-03-24,160.5,5.670833333333333,3.3833333333333333,,-0.42500000000000004,0
2019-03-25,29.625,10.283333333333333,-0.5208333333333334,,-5.716666666666666,0
2019-03-26,189.91666666666666,4.391666666666667,-0.13333333333333333,,-5.258333333333334,0
2019-03-27,188.16666666666666,7.945833333333333,2.283333333333333,,-4.891666666666667,0
2019-03-28,160.33333333333334,6.166666666666667,6.870833333333334,,2.733333333333334,0
2019-03-29,68.95833333333333,4.658333333333333,2.595833333333333,,0.5666666666666667,1
2019-03-30,190.29166666666666,6.7749999999999995,2.3833333333333333,,-3.095833333333333,0
2019-03-31,264.625,8.2875,-1.9416666666666667,,-12.737499999999999,0
2019-04-01,205.54166666666666,5.7749999999999995,0.18333333333333335,,-5.745833333333334,0
2019-04-02,189.91666666666666,4.9375,3.2916666666666665,,1.0708333333333333,0
2019-04-03,257.8333333333333,6.708333333333333,5.583333333333333,,-5.233333333333333,0
2019-04-04,148.58333333333334,5.041666666666667,2.4166666666666665,,-1.4416666666666667,0
2019-04-05,122.04347826086956,4.413043478260869,2.152173913043478,,1.1347826086956523,0
2019-04-06,167.70833333333334,3.8874999999999997,3.2624999999999997,,2.795833333333333,0
2019-04-07,142.0,1.9749999999999999,4.441666666666666,,4.3125,0
2019-04-08,241.45833333333334,5.470833333333334,10.25,,7.666666666666667,0
2019-04-09,249.41666666666666,6.645833333333333,9.808333333333334,,3.1208333333333336,0
2019-04-10,23.333333333333332,10.379166666666666,1.9541666666666666,,-0.9208333333333334,0
2019-04-11,60.916666666666664,11.595833333333333,0.7666666666666666,,-0.2875,1
2019-04-12,151.125,8.404166666666667,4.141666666666667,,0.2541666666666667,0
2019-04-13,242.91666666666666,8.354166666666666,3.4916666666666667,,-3.783333333333333,0
2019-04-14,123.29166666666667,9.858333333333333,1.6500000000000001,,-2.154166666666667,0
2019-04-15,206.20833333333334,6.158333333333334,2.4,,-4.454166666666667,0
2019-04-16,131.95833333333334,4.520833333333333,3.8375,,2.5458333333333334,0
2019-04-17,78.125,3.9916666666666667,3.3625000000000003,,3.2624999999999997,1
2019-04-18,270.0833333333333,6.425,8.549999999999999,,7.45,0
2019-04-19,113.52173913043478,9.995652173913044,4.982608695652174,,1.7391304347826086,1
2019-04-20,137.79166666666666,6.054166666666667,5.508333333333333,,-2.0291666666666663,0
2019-04-21,181.58333333333334,5.483333333333333,8.233333333333333,,-5.479166666666667,0
2019-04-22,173.375,7.7625,7.229166666666667,,3.091666666666667,0
2019-04-23,172.20833333333334,7.283333333333334,6.6375,,4.8500000000000005,0
2019-04-24,185.70833333333334,4.695833333333334,5.570833333333333,,2.2041666666666666,0
2019-04-25,174.125,5.425,8.4375,,4.029166666666667,0
2019-04-26,302.7916666666667,7.991666666666667,11.216666666666667,,4.545833333333333,0
2019-04-27,82.04166666666667,4.625,3.329166666666667,,-2.5500000000000003,1
2019-04-28,149.25,4.4375,3.4791666666666665,,-4.058333333333334,0
2019-04-29,105.0,6.516666666666667,4.3625,,0.8791666666666668,1
2019-04-30,49.875,6.108333333333333,3.783333333333333,,3.5833333333333335,0
2019-05-01,59.0,7.845833333333334,4.4125000000000005,,4.3125,0
2019-05-02,61.458333333333336,3.4125,3.716666666666667,,3.6166666666666667,1
2019-05-03,120.20833333333333,4.079166666666667,4.133333333333334,,3.725,0
2019-05-04,195.875,3.6999999999999997,5.941666666666666,,3.6125000000000003,0
2019-05-05,203.79166666666666,6.0874999999999995,10.799999999999999,,5.708333333333333,0
2019-05-06,73.95833333333333,7.8875,8.570833333333333,,5.7875000000000005,1
2019-05-07,13.458333333333334,7.7625,4.6125,,1.2583333333333333,0
2019-05-08,36.375,6.3374999999999995,5.1625000000000005,,1.4833333333333334,0
2019-05-09,178.125,6.591666666666666,8.558333333333334,,7.05,0
2019-05-10,225.95833333333334,5.3999999999999995,5.654166666666666,,2.4375,0
2019-05-11,161.75,4.075,5.629166666666666,,2.6458333333333335,0
2019-05-12,117.58333333333333,3.5749999999999997,5.483333333333333,,2.9166666666666665,1
